Test Set,Kernel,deg,Negative Accuracy(Specificity),Positive Accuracy(Sensitivity),Total Accuracy
transfer_1,linear,-,76.47058824,30.18867925,0.561983471
transfer_2,linear,-,62,40.625,0.568181818
transfer_3,linear,-,75,66.66666667,0.727272727
transfer_4,linear,-,64.28571429,75,0.681818182
transfer_5,linear,-,81.25,50,0.727272727
transfer_6,linear,-,92.85714286,37.5,0.727272727
transfer_7,linear,-,71.42857143,50,0.636363636
transfer_8,linear,-,78.57142857,87.5,0.818181818
transfer_9,linear,-,83.33333333,31.25,0.454545455
transfer_10,linear,-,57.14285714,50,0.545454545
transfer_11,linear,-,87.5,64.28571429,0.727272727
transfer_12,linear,-,62.5,64.28571429,0.636363636
transfer_13,linear,-,66.66666667,50,0.590909091
transfer_14,linear,-,83.33333333,70,0.772727273
transfer_15,linear,-,78.57142857,62.5,0.727272727
transfer_16,linear,-,75,50,0.681818182
transfer_17,linear,-,41.66666667,60,0.5
transfer_18,linear,-,50,40,0.454545455
transfer_19,linear,-,75,50,0.636363636
transfer_20,linear,-,83.33333333,25,0.409090909
transfer_21,linear,-,75,100,0.772727273
transfer_22,linear,-,75,100,0.772727273
transfer_23,linear,-,75,100,0.772727273
transfer_24,linear,-,50,100,0.545454545
,,,,,
,,,71.70462768,60.6167406,0.643681129
